lat,long,altitude,pix
-31.0, -44.00,-3352,#134659
-31.0, -43.40,-3716,#0E4152
-31.0, -42.80,-3889,#0E3E52
-31.0, -42.25,-3702,#0F4456
-31.0, -41.65,-3792,#0E4355
-31.0, -41.05,-3801,#104354
-31.0, -40.50,-3858,#0D4254
-31.0, -39.90,-3913,#0D3C50
-31.0, -39.30,-4121,#083B4E
-31.0, -38.75,-3755,#0F4456
-31.0, -38.15,-3101,#144C5D
-31.0, -37.55,-2909,#144D5E
-31.0, -37.00,-2046,#1F5A6A
-31.0, -36.40,-1483,#245F6D
-31.0, -35.85,-1241,#215C6C
-31.0, -35.25,-1511,#1F5D6A
-31.0, -34.65,-2222,#215465
-31.0, -34.10, -825,#246372
-31.0, -33.50,-1113,#246470
-31.0, -32.90,-1654,#225D6B
-31.0, -32.35,-2736,#174F5E
-31.0, -31.75,-3190,#164F60
-31.0, -31.15,-4124,#0C3F52
-31.0, -30.60,-4151,#053E4F
-31.0, -30.00,-3855,#0F3E4E
-31.0, -29.40,-3067,#144556
-31.0, -28.85,-3046,#154D5C
-31.0, -28.25,-4112,#083B4E
-31.0, -27.65,-4640,#003748
-31.0, -27.10,-4761,#002E41
-31.0, -26.50,-4455,#053448
-31.0, -25.90,-4593,#013145
-31.0, -25.35,-4420,#003145
-31.0, -24.75,-4480,#003144
-31.0, -24.15,-4548,#0A3F51
-31.0, -23.60,-4582,#003344
-31.0, -23.00,-4410,#023B4E
-31.0, -22.45,-4551,#013648
-31.0, -21.85,-4531,#02394D
-31.0, -21.25,-4571,#03374C
-31.0, -20.70,-4531,#01394A
-31.0, -20.10,-4126,#0B3E51
-31.0, -19.50,-3944,#0D4254
-31.0, -18.95,-3809,#0F4051
-31.0, -18.35,-4000,#114253
-31.0, -17.75,-4040,#083B4C
-31.0, -17.20,-3674,#0F4255
-31.0, -16.60,-3664,#0E4355
-31.0, -16.00,-3569,#14475A
-31.0, -15.45,-3554,#104354
-31.0, -14.85,-3338,#0E3C4C
-31.0, -14.25,-3187,#14475A
-31.0, -13.70,-2611,#184356
-31.0, -13.10,-2642,#134252
-31.0, -12.50,-3186,#0A3A46
-31.0, -11.95,-3365,#124558
-31.0, -11.35,-3470,#124759
-31.0, -10.80,-3461,#0F4255
-31.0, -10.20,-3795,#0F4253
-31.0,  -9.60,-3951,#0E4154
-31.0,  -9.05,-3931,#0D4053
-31.0,  -8.45,-3983,#0B4354
-31.0,  -7.85,-3922,#0B3C4B
-31.0,  -7.30,-4212,#083B4E
-31.0,  -6.70,-3948,#0C3F52
-31.0,  -6.10,-4229,#0B3E51
-31.0,  -5.55,-4297,#063B4D
-31.0,  -4.95,-4455,#02394D
-31.0,  -4.35,-4286,#023B4C
-31.0,  -3.80,-4175,#033445
-31.0,  -3.20,-4610,#003245
-31.0,  -2.60,-4611,#003A4C
-31.0,  -2.05,-4496,#033C4D
-31.0,  -1.45,-4711,#003A4A
-31.0,  -0.85,-4057,#093445
-31.0,  -0.30,-2721,#1B5062
-31.0,   0.30,-4368,#002E42
-31.0,   0.85,-4378,#02354A
-31.0,   1.45,-4423,#003B4D
-31.0,   2.05,-3444,#164F63
-31.0,   2.60,-2095,#205D6F
-31.0,   3.20,-4673,#032F3C
-31.0,   3.80,-5005,#013145
-31.0,   4.35,-4704,#003547
-31.0,   4.95,-5134,#003345
-31.0,   5.55,-5198,#003044
-31.0,   6.10,-5028,#003044
-31.0,   6.70,-4948,#023246
-31.0,   7.30,-5085,#003247
-31.0,   7.85,-4988,#003044
-31.0,   8.45,-4886,#003044
-31.0,   9.05,-4881,#003547
-31.0,   9.60,-4820,#003245
-31.0,  10.20,-4818,#003144
-31.0,  10.80,-4721,#003449
-31.0,  11.35,-4446,#00394C
-31.0,  11.95,-4118,#0B3E51
-31.0,  12.50,-3739,#0F4456
-31.0,  13.10,-3259,#14495B
-31.0,  13.70,-2974,#175061
-31.0,  14.25,-2577,#1B5465
-31.0,  14.85,-2234,#1D5667
-31.0,  15.45, -888,#276675
-31.0,  16.00, -190,#2C6E7C
-31.0,  16.60, -258,#2C707D
-31.0,  17.20, -182,#2D717E
-31.0,  17.75,  131,#9B7046
-31.0,  18.35,  305,#D6AD7F
-31.0,  18.95,  327,#C39766
-31.0,  19.50,  897,#8E6B45
-31.0,  20.10, 1047,#B68B54
-31.0,  20.70, 1035,#B69568
-31.0,  21.25, 1360,#9E7547
-31.0,  21.85, 1325,#9D7843
-31.0,  22.45, 1515,#8F6736
-31.0,  23.00, 1332,#886434
-31.0,  23.60, 1272,#A77F4C
-31.0,  24.15, 1410,#987243
-31.0,  24.75, 1410,#947244
-31.0,  25.35, 1391,#9E7D50
-31.0,  25.90, 1452,#8D6B3B
-31.0,  26.50, 1482,#856D3D
-31.0,  27.10, 1450,#947D4B
-31.0,  27.65, 1867,#785C2C
-31.0,  28.25, 1350,#6E5F38
-31.0,  28.85,  979,#7E653D
-31.0,  29.40,  924,#645E3C
-31.0,  30.00,  309,#5C5634
-31.0,  30.60,-2126,#1A4450
-31.0,  31.15,-2996,#164E5F
-31.0,  31.75,-2784,#134657
-31.0,  32.35,-3048,#154A5C
-31.0,  32.90,-3200,#134B5C
-31.0,  33.50,-3137,#154A5C
-31.0,  34.10,-2961,#134657
-31.0,  34.65,-2772,#164E5D
-31.0,  35.25,-2540,#1F5361
-31.0,  35.85,-2149,#114B57
-31.0,  36.40,-2948,#1A4F5D
-31.0,  37.00,-4183,#023A53
-31.0,  37.55,-4820,#003245
-31.0,  38.15,-5148,#003245
-31.0,  38.75,-4986,#013147
-31.0,  39.30,-4965,#013147
-31.0,  39.90,-4948,#003245
-31.0,  40.50,-4957,#003247
-31.0,  41.05,-4737,#003345
-31.0,  41.65,-4715,#003748
-31.0,  42.25,-4050,#0B4050
-31.0,  42.80,-3160,#144D5E
-31.0,  43.40,-1879,#164C58
-31.0,  44.00,-2071,#1B5362
-31.0,  44.55,-2325,#1C5664
-31.0,  45.15,-2242,#1C5664
-31.0,  45.75,-2146,#1A525F
-31.0,  46.30,-2085,#1D5765
-31.0,  46.90,-2446,#194E5E
-31.0,  47.50,-3706,#093343
-31.0,  48.05,-4134,#00394C
-31.0,  48.65,-4728,#013648
-31.0,  49.20,-4673,#003546
-31.0,  49.80,-4573,#023548
-31.0,  50.40,-4675,#003144
-31.0,  50.95,-4902,#013145
-31.0,  51.55,-4796,#002A3E
-31.0,  52.15,-4629,#00364A
-31.0,  52.70,-4932,#013145
-31.0,  53.30,-3943,#0E4355
-31.0,  53.90,-4836,#003346
-31.0,  54.45,-3702,#0C3B4B
-31.0,  55.05,-4429,#012C3C
-31.0,  55.65,-4544,#003348
-31.0,  56.20,-5147,#002A40
-31.0,  56.80,-5272,#003247
-31.0,  57.40,-3585,#0D4755
-31.0,  57.95,-3402,#144856
-31.0,  58.55,-3830,#104057
-31.0,  59.15,-4438,#042D41
-31.0,  59.70,-3370,#0A3545
-31.0,  60.30,-3000,#0C3B4D
-31.0,  60.85,-3146,#104A56
-31.0,  61.45,-4385,#01313D
-31.0,  62.05,-4079,#0D4856
-31.0,  62.60,-4414,#00303F
-31.0,  63.20,-4718,#003044
-31.0,  63.80,-4639,#013243
-31.0,  64.35,-4564,#03374C
-31.0,  64.95,-4778,#002F42
-31.0,  65.55,-4459,#003647
-31.0,  66.10,-4636,#00374C
-31.0,  66.70,-5058,#002C3C
-31.0,  67.30,-4795,#002C3C
-31.0,  67.85,-4668,#023143
-31.0,  68.45,-4739,#002D3D
-31.0,  69.05,-4417,#063A4F
-31.0,  69.60,-4338,#094359
-31.0,  70.20,-3961,#104356
-31.0,  70.80,-4337,#02394E
-31.0,  71.35,-4217,#023246
-31.0,  71.95,-4056,#083747
-31.0,  72.50,-4159,#033649
-31.0,  73.10,-3914,#0B3C4D
-31.0,  73.70,-3724,#104356
-31.0,  74.25,-3636,#0F4253
-31.0,  74.85,-3450,#104354
-31.0,  75.45,-3233,#0A3847
-31.0,  76.00,-2942,#16495A
-31.0,  76.60,-2888,#134D5B
-31.0,  77.20,-3359,#154A5C
-31.0,  77.75,-3186,#144758
-31.0,  78.35,-3412,#164B5D
-31.0,  78.95,-3871,#0B3A4A
-31.0,  79.50,-3626,#0C3D4C
-31.0,  80.10,-4065,#0C3B4D
-31.0,  80.70,-4026,#0A3F51
-31.0,  81.25,-4425,#0D3C4E
-31.0,  81.85,-3993,#0D4053
-31.0,  82.45,-4101,#08394A
-31.0,  83.00,-3917,#0B4050
-31.0,  83.60,-4031,#0E4355
-31.0,  84.15,-4213,#033443
-31.0,  84.75,-4047,#0B4354
-31.0,  85.35,-3258,#104E5D
-31.0,  85.90,-3599,#0E3B4E
-31.0,  86.50,-3282,#144251
-31.0,  87.10,-2338,#1E5C6B
-31.0,  87.65,-1373,#1D5763
-31.0,  88.25,-1411,#205E6B
-31.0,  88.85,-2204,#195361
-31.0,  89.40,-2747,#184957
